"","class","species","n"
"448","Aves","Thamnophilus ruficapillus",41
"449","Aves","Theristicus caerulescens",122
"450","Aves","Theristicus caudatus",53
"451","Aves","Thinocorus rumicivorus",7
"452","Aves","Thraupis sayaca",66
"453","Aves","Tigrisoma lineatum",54
"454","Aves","Tolmomyias sulphurescens",15
"455","Aves","Tringa flavipes",96
"456","Aves","Tringa melanoleuca",119
"457","Aves","Tringa solitaria",15
"458","Aves","Troglodytes aedon",102
"459","Aves","Trogon surrucura",17
"460","Aves","Turdus albicollis",25
"461","Aves","Turdus amaurochalinus",130
"462","Aves","Turdus flavipes",3
"463","Aves","Turdus leucomelas",2
"464","Aves","Turdus rufiventris",229
"465","Aves","Turdus subalaris",3
"466","Aves","Tyrannus melancholicus",133
"467","Aves","Tyrannus savana",196
"468","Aves","Tyrannus tyrannus",4
"469","Aves","Tyto alba",5
"470","Aves","Vanellus chilensis",321
"471","Aves","Veniliornis mixtus",13
"472","Aves","Veniliornis spilogaster",65
"473","Aves","Vireo olivaceus",26
"474","Aves","Volatinia jacarina",12
"475","Aves","Xanthopsar flavus",22
"476","Aves","Xenopsaris albinucha",8
"477","Aves","Xolmis cinereus",98
"478","Aves","Xolmis coronatus",6
"479","Aves","Xolmis irupero",142
"480","Aves","Zenaida auriculata",203
"481","Aves","Zonotrichia capensis",259
"482","Mammalia","Akodon azarae",1
"483","Mammalia","Arctocephalus australis",77
"484","Mammalia","Arctocephalus gazella",1
"485","Mammalia","Arctocephalus tropicalis",10
"486","Mammalia","Axis axis",62
"487","Mammalia","Cabassous tatouay",2
"488","Mammalia","Calomys laucha",4
"489","Mammalia","Canis lupus",5
"490","Mammalia","Capra hircus",1
"491","Mammalia","Cavia aperea",98
"492","Mammalia","Cerdocyon thous",60
"493","Mammalia","Conepatus chinga",73
"494","Mammalia","Ctenomys pearsoni",32
"495","Mammalia","Ctenomys rionegrensis",1
"496","Mammalia","Ctenomys torquatus",7
"497","Mammalia","Cuniculus paca",1
"498","Mammalia","Dama dama",1
"499","Mammalia","Dasypterus ega",11
"500","Mammalia","Dasypus novemcinctus",51
"501","Mammalia","Dasypus septemcinctus",79
"502","Mammalia","Delphinus delphis",1
"503","Mammalia","Desmodus rotundus",11
"504","Mammalia","Didelphis albiventris",72
"505","Mammalia","Eptesicus diminutus",2
"506","Mammalia","Eptesicus furinalis",8
"507","Mammalia","Equus asinus",1
"508","Mammalia","Eubalaena australis",17
"509","Mammalia","Eumops bonariensis",2
"510","Mammalia","Euphractus sexcinctus",43
"511","Mammalia","Felis catus",8
"512","Mammalia","Galictis cuja",25
"513","Mammalia","Histiotus montanus",2
"514","Mammalia","Holochilus brasiliensis",5
"515","Mammalia","Hydrochoerus hydrochaeris",160
"516","Mammalia","Lagenodelphis hosei",1
"517","Mammalia","Lasiurus blossevillii",5
"518","Mammalia","Leopardus geoffroyi",38
"519","Mammalia","Leopardus wiedii",26
"520","Mammalia","Lepus europaeus",92
"521","Mammalia","Lontra longicaudis",43
"522","Mammalia","Lutreolina crassicaudata",2
"523","Mammalia","Lycalopex gymnocercus",115
"524","Mammalia","Mazama gouazoubira",62
"525","Mammalia","Megaptera novaeangliae",4
