"","family","species","n"
"327","Cactaceae","Parodia langsdorfii",10
"328","Cactaceae","Parodia mammulosa",81
"329","Cactaceae","Parodia mueller-melchersii",3
"330","Cactaceae","Parodia neoarechavaletae",2
"331","Cactaceae","Parodia ottonis",88
"332","Cactaceae","Parodia oxycostata",1
"333","Cactaceae","Parodia scopa",86
"334","Cactaceae","Parodia tenuicylindrica",6
"335","Cactaceae","Parodia werdermanniana",1
"336","Cactaceae","Rhipsalis cereuscula",2
"337","Cactaceae","Rhipsalis floccosa",1
"338","Cactaceae","Salmonopuntia salmiana",1
"339","Fabaceae","Acacia dealbata",22
"340","Fabaceae","Acacia elata",1
"341","Fabaceae","Acacia longifolia",103
"342","Fabaceae","Acacia mearnsii",2
"343","Fabaceae","Acacia melanoxylon",8
"344","Fabaceae","Acacia podalyriifolia",4
"345","Fabaceae","Acacia retinodes",1
"346","Fabaceae","Adesmia bicolor",5
"347","Fabaceae","Adesmia incana",1
"348","Fabaceae","Adesmia latifolia",1
"349","Fabaceae","Adesmia muricata",1
"350","Fabaceae","Adesmia punctata",12
"351","Fabaceae","Adesmia securigerifolia",15
"352","Fabaceae","Aeschynomene montevidensis",5
"353","Fabaceae","Albizia inundata",2
"354","Fabaceae","Albizia julibrissin",2
"355","Fabaceae","Ancistrotropis clitorioides",1
"356","Fabaceae","Arachis burkartii",5
"357","Fabaceae","Arachis villosa",11
"358","Fabaceae","Bauhinia forficata",25
"359","Fabaceae","Betencourtia australis",2
"360","Fabaceae","Betencourtia gracillima",1
"361","Fabaceae","Calliandra parvifolia",6
"362","Fabaceae","Calliandra selloi",7
"363","Fabaceae","Calliandra tweediei",54
"364","Fabaceae","Camptosema rubicundum",41
"365","Fabaceae","Canavalia bonariensis",12
"366","Fabaceae","Centrosema virginianum",7
"367","Fabaceae","Chamaecrista flexuosa",1
"368","Fabaceae","Chamaecrista repens",2
"369","Fabaceae","Chamaecrista rotundifolia",1
"370","Fabaceae","Clitoria nana",2
"371","Fabaceae","Collaea stenophylla",5
"372","Fabaceae","Desmanthus acuminatus",2
"373","Fabaceae","Desmanthus virgatus",2
"374","Fabaceae","Desmodium affine",3
"375","Fabaceae","Desmodium arechavaletae",1
"376","Fabaceae","Desmodium incanum",16
"377","Fabaceae","Enterolobium contortisiliquum",7
"378","Fabaceae","Erythrina crista-galli",118
"379","Fabaceae","Erythrostemon gilliesii",1
"380","Fabaceae","Genista monspessulana",14
"381","Fabaceae","Geoffroea decorticans",30
"382","Fabaceae","Gleditsia amorphoides",4
"383","Fabaceae","Gleditsia triacanthos",47
"384","Fabaceae","Glycine max",2
"385","Fabaceae","Helicotropis hookeri",1
"386","Fabaceae","Indigofera asperifolia",1
"387","Fabaceae","Indigofera microcarpa",2
"388","Fabaceae","Indigofera suffruticosa",1
"389","Fabaceae","Inga uraguensis",20
"390","Fabaceae","Lathyrus latifolius",1
"391","Fabaceae","Lathyrus nervosus",18
"392","Fabaceae","Lathyrus odoratus",1
"393","Fabaceae","Lathyrus pubescens",14
"394","Fabaceae","Lathyrus pusillus",1
"395","Fabaceae","Lathyrus subulatus",4
"396","Fabaceae","Leptospron adenanthum",2
"397","Fabaceae","Lotus corniculatus",9
"398","Fabaceae","Lotus subbiflorus",5
"399","Fabaceae","Lotus tenuis",1
"400","Fabaceae","Lupinus albescens",9
"401","Fabaceae","Lupinus bracteolaris",63
"402","Fabaceae","Lupinus gibertianus",19
"403","Fabaceae","Lupinus lanatus",4
"404","Fabaceae","Lupinus linearis",4
"405","Fabaceae","Lupinus multiflorus",57
"406","Fabaceae","Macroptilium erythroloma",1
"407","Fabaceae","Macroptilium lathyroides",1
"408","Fabaceae","Macroptilium prostratum",12
"409","Fabaceae","Medicago arabica",9
"410","Fabaceae","Medicago lupulina",16
"411","Fabaceae","Medicago minima",1
"412","Fabaceae","Medicago polymorpha",7
"413","Fabaceae","Medicago sativa",10
"414","Fabaceae","Melilotus albus",16
"415","Fabaceae","Melilotus indicus",10
"416","Fabaceae","Mimosa australis",12
"417","Fabaceae","Mimosa axillarioides",1
"418","Fabaceae","Mimosa balansae",1
"419","Fabaceae","Mimosa berroi",2
"420","Fabaceae","Mimosa bifurca",6
"421","Fabaceae","Mimosa bimucronata",1
"422","Fabaceae","Mimosa burkartii",8
"423","Fabaceae","Mimosa cruenta",6
"424","Fabaceae","Mimosa dutrae",9
"425","Fabaceae","Mimosa flagellaris",6
"426","Fabaceae","Mimosa incana",1
"427","Fabaceae","Mimosa magentea",4
"428","Fabaceae","Mimosa paupera",1
"429","Fabaceae","Mimosa pigra",1
"430","Fabaceae","Mimosa pilulifera",6
"431","Fabaceae","Mimosa ramulosa",16
"432","Fabaceae","Mimosa reptans",4
"433","Fabaceae","Mimosa rocae",3
"434","Fabaceae","Mimosa schleidenii",5
"435","Fabaceae","Mimosa sprengelii",10
"436","Fabaceae","Mimosa strigillosa",2
"437","Fabaceae","Mimosa tweedieana",1
"438","Fabaceae","Mimosa uraguensis",3
"439","Fabaceae","Nanogalactia heterophylla",31
"440","Fabaceae","Nanogalactia pretiosa",1
"441","Fabaceae","Neptunia pubescens",1
"442","Fabaceae","Parapiptadenia rigida",3
"443","Fabaceae","Parkinsonia aculeata",44
"444","Fabaceae","Peltophorum dubium",6
"445","Fabaceae","Poecilanthe parviflora",2
"446","Fabaceae","Poiretia tetraphylla",6
"447","Fabaceae","Pomaria pilosa",2
"448","Fabaceae","Pomaria rubicunda",3
"449","Fabaceae","Prosopis affinis",18
"450","Fabaceae","Prosopis nigra",5
"451","Fabaceae","Rhynchosia corylifolia",3
"452","Fabaceae","Rhynchosia diversifolia",4
"453","Fabaceae","Rhynchosia lineata",2
"454","Fabaceae","Rhynchosia senna",1
"455","Fabaceae","Robinia pseudoacacia",1
"456","Fabaceae","Senegalia bonariensis",46
"457","Fabaceae","Senna corymbosa",43
"458","Fabaceae","Senna didymobotrya",2
"459","Fabaceae","Senna nana",1
"460","Fabaceae","Senna pendula",1
"461","Fabaceae","Senna scabriuscula",3
"462","Fabaceae","Sesbania punicea",59
"463","Fabaceae","Sesbania virgata",26
"464","Fabaceae","Spartium junceum",34
"465","Fabaceae","Stylosanthes leiocarpa",3
"466","Fabaceae","Stylosanthes montevidensis",4
"467","Fabaceae","Tephrosia cinerea",5
"468","Fabaceae","Tipuana tipu",6
"469","Fabaceae","Trifolium campestre",5
"470","Fabaceae","Trifolium fragiferum",1
"471","Fabaceae","Trifolium polymorphum",23
"472","Fabaceae","Trifolium pratense",26
"473","Fabaceae","Trifolium repens",39
"474","Fabaceae","Trifolium subterraneum",3
"475","Fabaceae","Ulex europaeus",33
"476","Fabaceae","Vachellia astringens",1
"477","Fabaceae","Vachellia caven",110
"478","Fabaceae","Vachellia karroo",3
"479","Fabaceae","Vicia benghalensis",17
"480","Fabaceae","Vicia montevidensis",1
"481","Fabaceae","Vicia sativa",20
"482","Fabaceae","Vicia villosa",1
"483","Fabaceae","Vigna longifolia",7
"484","Fabaceae","Vigna luteola",18
"485","Solanaceae","Brugmansia arborea",1
"486","Solanaceae","Brunfelsia australis",2
"487","Solanaceae","Brunfelsia pauciflora",1
"488","Solanaceae","Calibrachoa calycina",5
"489","Solanaceae","Calibrachoa humilis",8
"490","Solanaceae","Calibrachoa parviflora",12
"491","Solanaceae","Calibrachoa pubescens",2
"492","Solanaceae","Calibrachoa pygmea",9
"493","Solanaceae","Calibrachoa scabridula",5
"494","Solanaceae","Capsicum annuum",1
"495","Solanaceae","Cestrum parqui",17
"496","Solanaceae","Cestrum strigillatum",4
"497","Solanaceae","Datura ferox",13
"498","Solanaceae","Jaborosa integrifolia",8
"499","Solanaceae","Jaborosa runcinata",34
"500","Solanaceae","Lycium boerhaaviifolium",5
"501","Solanaceae","Lycium cestroides",1
"502","Solanaceae","Lycium ciliatum",2
"503","Solanaceae","Nicandra physalodes",1
"504","Solanaceae","Nicotiana alata",6
"505","Solanaceae","Nicotiana bonariensis",31
"506","Solanaceae","Nicotiana glauca",14
"507","Solanaceae","Nicotiana longiflora",57
"508","Solanaceae","Nicotiana tabacum",5
"509","Solanaceae","Nierembergia aristata",9
"510","Solanaceae","Nierembergia calycina",25
"511","Solanaceae","Nierembergia ericoides",15
"512","Solanaceae","Nierembergia graveolens",1
"513","Solanaceae","Nierembergia linariifolia",12
"514","Solanaceae","Nierembergia pinifolia",1
"515","Solanaceae","Nierembergia rivularis",5
"516","Solanaceae","Nierembergia scoparia",10
"517","Solanaceae","Petunia axillaris",118
"518","Solanaceae","Petunia integrifolia",25
