"","taxon_class_name","taxon_species_name","n"
"452","Aves","Syndactyla rufosuperciliata",19
"453","Aves","Syrigma sibilatrix",112
"454","Aves","Systellura longirostris",5
"455","Aves","Tachuris rubrigastra",30
"456","Aves","Tachybaptus dominicus",6
"457","Aves","Tachycineta leucopyga",8
"458","Aves","Tachycineta leucorrhoa",67
"459","Aves","Tachyphonus coronatus",4
"460","Aves","Tapera naevia",19
"461","Aves","Thalassarche chlororhynchos",2
"462","Aves","Thalassarche melanophris",29
"463","Aves","Thalasseus elegans",2
"464","Aves","Thalasseus maximus",53
"465","Aves","Thalasseus sandvicensis",41
"466","Aves","Thamnophilus caerulescens",50
"467","Aves","Thamnophilus ruficapillus",36
"468","Aves","Theristicus caerulescens",115
"469","Aves","Theristicus caudatus",54
"470","Aves","Thinocorus rumicivorus",8
"471","Aves","Thraupis sayaca",66
"472","Aves","Tigrisoma lineatum",66
"473","Aves","Tolmomyias sulphurescens",15
"474","Aves","Tringa flavipes",55
"475","Aves","Tringa melanoleuca",93
"476","Aves","Tringa solitaria",18
"477","Aves","Troglodytes aedon",96
"478","Aves","Trogon surrucura",21
"479","Aves","Turdus albicollis",29
"480","Aves","Turdus amaurochalinus",121
"481","Aves","Turdus flavipes",3
"482","Aves","Turdus leucomelas",3
"483","Aves","Turdus rufiventris",211
"484","Aves","Turdus subalaris",3
"485","Aves","Tyrannus melancholicus",113
"486","Aves","Tyrannus savana",159
"487","Aves","Tyrannus tyrannus",4
"488","Aves","Tyto alba",8
"489","Aves","Vanellus chilensis",242
"490","Aves","Vireo chivi",27
"491","Aves","Volatinia jacarina",14
"492","Aves","Xanthopsar flavus",28
"493","Aves","Xenopsaris albinucha",8
"494","Aves","Xolmis irupero",130
"495","Aves","Zenaida auriculata",151
"496","Aves","Zonibyx modestus",33
"497","Aves","Zonotrichia capensis",230
"498","Mammalia","Akodon azarae",2
"499","Mammalia","Alouatta caraya",1
"500","Mammalia","Arctocephalus australis",49
"501","Mammalia","Arctocephalus gazella",2
"502","Mammalia","Arctocephalus tropicalis",12
"503","Mammalia","Axis axis",71
"504","Mammalia","Balaenoptera acutorostrata",1
"505","Mammalia","Cabassous tatouay",3
"506","Mammalia","Calomys laucha",4
"507","Mammalia","Canis familiaris",2
"508","Mammalia","Capra hircus",1
"509","Mammalia","Cavia aperea",102
"510","Mammalia","Cerdocyon thous",65
"511","Mammalia","Chrysocyon brachyurus",1
"512","Mammalia","Coendou spinosus",9
"513","Mammalia","Conepatus chinga",92
"514","Mammalia","Ctenomys pearsoni",35
"515","Mammalia","Ctenomys rionegrensis",1
"516","Mammalia","Ctenomys torquatus",7
"517","Mammalia","Cuniculus paca",1
"518","Mammalia","Dama dama",2
"519","Mammalia","Dasypus novemcinctus",56
"520","Mammalia","Dasypus septemcinctus",94
"521","Mammalia","Delphinus delphis",1
"522","Mammalia","Desmodus rotundus",12
"523","Mammalia","Didelphis albiventris",83
"524","Mammalia","Eptesicus diminutus",1
"525","Mammalia","Eptesicus furinalis",9
"526","Mammalia","Eubalaena australis",21
"527","Mammalia","Eumops bonariensis",2
"528","Mammalia","Euphractus sexcinctus",52
"529","Mammalia","Felis catus",8
"530","Mammalia","Galictis cuja",28
"531","Mammalia","Histiotus montanus",2
"532","Mammalia","Holochilus brasiliensis",5
"533","Mammalia","Hydrochoerus hydrochaeris",169
"534","Mammalia","Lagenodelphis hosei",1
"535","Mammalia","Lasiurus blossevillii",4
"536","Mammalia","Lasiurus cinereus",2
"537","Mammalia","Lasiurus ega",8
"538","Mammalia","Leopardus fasciatus",2
"539","Mammalia","Leopardus geoffroyi",48
"540","Mammalia","Leopardus wiedii",29
"541","Mammalia","Lepus europaeus",90
"542","Mammalia","Lontra longicaudis",51
"543","Mammalia","Lutreolina crassicaudata",2
"544","Mammalia","Lycalopex gymnocerca",136
"545","Mammalia","Mazama gouazoubira",69
"546","Mammalia","Megaptera novaeangliae",2
"547","Mammalia","Mirounga angustirostris",1
"548","Mammalia","Mirounga leonina",21
"549","Mammalia","Molossus molossus",4
"550","Mammalia","Monodelphis dimidiata",5
"551","Mammalia","Mus musculus",4
"552","Mammalia","Myocastor coypus",105
"553","Mammalia","Myotis albescens",3
"554","Mammalia","Nasua nasua",19
"555","Mammalia","Oligoryzomys flavescens",2
"556","Mammalia","Oligoryzomys nigripes",4
"557","Mammalia","Oryctolagus cuniculus",6
"558","Mammalia","Otaria byronia",81
"559","Mammalia","Ovis aries",1
"560","Mammalia","Oxymycterus josei",1
"561","Mammalia","Oxymycterus nasutus",1
"562","Mammalia","Ozotoceros bezoarticus",43
"563","Mammalia","Phocoena spinipinnis",1
"564","Mammalia","Physeter macrocephalus",1
"565","Mammalia","Platyrrhinus lineatus",2
"566","Mammalia","Pontoporia blainvillei",32
"567","Mammalia","Procyon cancrivorus",89
"568","Mammalia","Pseudorca crassidens",4
"569","Mammalia","Rattus norvegicus",3
"570","Mammalia","Rattus rattus",1
"571","Mammalia","Reithrodon typicus",1
"572","Mammalia","Sturnira lilium",1
"573","Mammalia","Sus scrofa",17
"574","Mammalia","Tadarida brasiliensis",7
"575","Mammalia","Tamandua tetradactyla",9
"576","Mammalia","Tursiops truncatus",9
"577","Mammalia","Wilfredomys oenax",2
"578","Reptilia","Acanthochelys spixii",20
"579","Reptilia","Adelphostigma occipitalis",8
"580","Reptilia","Amphisbaena darwinii",51
"581","Reptilia","Amphisbaena kingii",11
"582","Reptilia","Amphisbaena munoai",1
"583","Reptilia","Aspronema dorsivittatum",10
"584","Reptilia","Boiruna maculata",10
"585","Reptilia","Bothrops alternatus",74
"586","Reptilia","Bothrops pubescens",80
"587","Reptilia","Caiman latirostris",17
"588","Reptilia","Caiman yacare",1
"589","Reptilia","Calamodontophis paucidens",4
"590","Reptilia","Caretta caretta",34
"591","Reptilia","Cercosaura schreibersii",51
"592","Reptilia","Chelonia mydas",28
"593","Reptilia","Chironius gouveai",6
"594","Reptilia","Contomastix lacertoides",17
"595","Reptilia","Dermochelys coriacea",6
"596","Reptilia","Dibernardia poecilopogon",8
"597","Reptilia","Dipsas turgida",12
"598","Reptilia","Dryophylax hypoconia",46
"599","Reptilia","Epictia munoai",4
"600","Reptilia","Erythrolamprus almadensis",6
"601","Reptilia","Erythrolamprus jaegeri",15
"602","Reptilia","Erythrolamprus poecilogyrus",110
"603","Reptilia","Erythrolamprus semiaureus",32
"604","Reptilia","Eunectes notaeus",3
"605","Reptilia","Helicops infrataeniatus",9
"606","Reptilia","Hemidactylus mabouia",8
"607","Reptilia","Homonota uruguayensis",9
"608","Reptilia","Hydromedusa tectifera",29
"609","Reptilia","Leptophis ahaetulla",1
"610","Reptilia","Liolaemus wiegmannii",38
"611","Reptilia","Lygophis anomalus",78
"612","Reptilia","Lygophis flavifrenatus",1
"613","Reptilia","Mesotes strigatus",10
"614","Reptilia","Micrurus altirostris",23
"615","Reptilia","Ophiodes intermedius",8
"616","Reptilia","Ophiodes striatus",30
"617","Reptilia","Ophiodes vertebralis",16
"618","Reptilia","Oxyrhopus rhombifer",42
"619","Reptilia","Paraphimophis rusticus",22
"620","Reptilia","Phalotris lemniscatus",44
"621","Reptilia","Philodryas aestiva",50
"622","Reptilia","Philodryas agassizii",3
"623","Reptilia","Philodryas olfersii",11
"624","Reptilia","Philodryas patagoniensis",115
"625","Reptilia","Phrynops hilarii",34
"626","Reptilia","Phrynops williamsi",7
"627","Reptilia","Psomophis obtusus",13
"628","Reptilia","Salvator merianae",232
"629","Reptilia","Tachymenis ocellata",43
"630","Reptilia","Tantilla melanocephala",5
"631","Reptilia","Tarentola mauritanica",20
"632","Reptilia","Teius oculatus",36
"633","Reptilia","Trachemys dorbigni",104
"634","Reptilia","Tropidurus catalanensis",3
"635","Reptilia","Tropidurus torquatus",5
"636","Reptilia","Xenodon dorbignyi",68
"637","Reptilia","Xenodon histricus",1
"638","Reptilia","Xenodon merremii",4
