"id","taxon_family_name","taxon_species_name","n","species","taxon_genus_name","Distribution","Habito1","Habito2","SNAPregional","BiodiversidataEstablecimiento","IUCNglobal","trendGlobal","esta_en_powo","esta_en_gbif","es_un_nuevo_registro","url_powo","synonym","remarks"
63,"Asteraceae","Calea uniflora",23,"Calea uniflora","Calea",1,"Hierba","Perenne","No evaluada","nativa","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:187795-1",,
335,"Cactaceae","Opuntia ficus-indica",9,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1151735-2",,"non-native"
65,"Asteraceae","Calyptocarpus brasiliensis",7,"Calyptocarpus brasiliensis","Calyptocarpus",1,"NE","NE","No evaluada","NE","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273932-2",,
66,"Asteraceae","Campovassouria cruciata",7,"Campovassouria cruciata","Campovassouria",6,"Arbusto","Perenne","No prioritaria","nativa","NE","NE",,,,,,
67,"Asteraceae","Campuloclinium macrocephalum",85,"Campuloclinium macrocephalum","Campuloclinium",16,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
68,"Asteraceae","Carduus acanthoides",36,"Carduus acanthoides","Carduus",6,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
558,"Solanaceae","Schwenckia curviflora",8,,,,,,,,,,,,,,,"new species"
70,"Asteraceae","Carduus pycnocephalus",3,"Carduus pycnocephalus","Carduus",7,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
307,"Asteraceae","Youngia japonica",7,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1124129-2",,"non-native"
72,"Asteraceae","Carthamus lanatus",12,"Carthamus lanatus","Carthamus",10,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
73,"Asteraceae","Centaurea calcitrapa",11,"Centaurea calcitrapa","Centaurea",9,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
74,"Asteraceae","Centaurea solstitialis",1,"Centaurea solstitialis","Centaurea",7,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
75,"Asteraceae","Chaptalia arechavaletae",22,"Chaptalia arechavaletae","Chaptalia",13,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
76,"Asteraceae","Chaptalia exscapa",8,"Chaptalia exscapa","Chaptalia",8,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
77,"Asteraceae","Chaptalia integerrima",2,"Chaptalia integerrima","Chaptalia",9,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
78,"Asteraceae","Chaptalia nutans",4,"Chaptalia nutans","Chaptalia",4,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
79,"Asteraceae","Chaptalia piloselloides",22,"Chaptalia piloselloides","Chaptalia",10,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
80,"Asteraceae","Chaptalia sinuata",2,"Chaptalia sinuata","Chaptalia",7,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
81,"Asteraceae","Chevreulia sarmentosa",5,"Chevreulia sarmentosa","Chevreulia",9,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
82,"Asteraceae","Chromolaena caaguazuensis",1,"Chromolaena caaguazuensis","Chromolaena",2,"Subarbusto","Perenne","No evaluada","NE","NE","NE",,,,,,
83,"Asteraceae","Chromolaena christieana",3,"Chromolaena christieana","Chromolaena",1,"Subarbusto","Perenne","No evaluada","NE","NE","NE","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:57373-2",,
84,"Asteraceae","Chromolaena hirsuta",129,"Chromolaena hirsuta","Chromolaena",12,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
85,"Asteraceae","Chromolaena ivifolia",3,"Chromolaena ivifolia","Chromolaena",10,"Subarbusto","Perenne","Prioritaria","nativa","NE","NE",,,,,,
86,"Asteraceae","Chromolaena laevigata",6,"Chromolaena laevigata","Chromolaena",7,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
87,"Asteraceae","Chromolaena squarrulosa",17,"Chromolaena squarrulosa","Chromolaena",3,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
88,"Asteraceae","Chrysanthellum indicum",1,"Chrysanthellum indicum","Chrysanthellum",1,"Hierba","Anual","No evaluada","NE","NE","NE","No está","No está","SI","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30194265-2",,
89,"Asteraceae","Chrysolaena cognata",1,"Chrysolaena cognata","Chrysolaena",3,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
90,"Asteraceae","Chrysolaena flexuosa",131,"Chrysolaena flexuosa","Chrysolaena",13,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
91,"Asteraceae","Chrysolaena platensis",2,"Chrysolaena platensis","Chrysolaena",7,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
92,"Asteraceae","Cichorium intybus",82,"Cichorium intybus","Cichorium",4,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
93,"Asteraceae","Cirsium vulgare",92,"Cirsium vulgare","Cirsium",8,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
523,"Solanaceae","Calibrachoa calycina",7,,,,,,,,,,,,,,"Calibrachoa ovalifolia",
95,"Asteraceae","Coleostephus myconis",77,"Coleostephus myconis","Coleostephus",6,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
96,"Asteraceae","Coreopsis lanceolata",7,"Coreopsis lanceolata","Coreopsis",1,"Hierba","Perenne","No evaluada","introducida","NE","NE",,,,,,
528,"Solanaceae","Calibrachoa scabridula",7,,,,,,,,,,,,,,,"new species"
117,"Asteraceae","Enydra fluctuans",6,,,,,,,,,,,,,,,"in doubt (possibly non native)"
99,"Asteraceae","Cotula australis",6,"Cotula australis","Cotula",7,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
100,"Asteraceae","Cotula coronopifolia",13,"Cotula coronopifolia","Cotula",5,"Hierba","Perenne","No evaluada","introducida","NE","NE",,,,,,
442,"Fabaceae","Mimosa amphigena",6,,,,,,,,,,,,,,,"new species"
102,"Asteraceae","Criscia stricta",35,"Criscia stricta","Criscia",15,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
103,"Asteraceae","Cynara cardunculus",35,"Cynara cardunculus","Cynara",5,"Hierba","Perenne","No evaluada","introducida","NE","NE",,,,,,
104,"Asteraceae","Cyrtocymura scorpioides",4,"Cyrtocymura scorpioides","Cyrtocymura",1,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
105,"Asteraceae","Dasyphyllum spinescens",9,"Dasyphyllum spinescens","Dasyphyllum",1,"Arbol","Perenne","No evaluada","NE","LC","Stable",,,,,,
106,"Asteraceae","Delairea odorata",2,"Delairea odorata","Delairea",2,"Hierba","Perenne","No evaluada","introducida","NE","NE",,,,,,
107,"Asteraceae","Dimerostemma grisebachii",2,"Dimerostemma grisebachii","Dimerostemma",1,"Subarbusto","Perenne","No evaluada","NE","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60444807-2",,
