"","class","species","n","Distribution","Size","IUCNglobal"
"322","Aves","Phalacrocorax brasilianus",201,NA,NA,NA
"323","Aves","Phalaropus tricolor",23,19,21,"LC"
"324","Aves","Phimosus infuscatus",88,19,40,"LC"
"325","Aves","Phleocryptes melanops",36,19,13,"LC"
"326","Aves","Phoenicopterus chilensis",49,7,75,"NT"
"327","Aves","Phyllomyias burmeisteri",1,1,11,"LC"
"328","Aves","Phyllomyias virescens",1,NA,NA,NA
"329","Aves","Phylloscartes ventralis",33,19,10,"LC"
"330","Aves","Phytotoma rutila",18,16,17,"LC"
"331","Aves","Piaya cayana",27,19,44,"LC"
"332","Aves","Piculus aurulentus",3,1,21,"NT"
"333","Aves","Picumnus cirratus",17,6,8,"LC"
"334","Aves","Picumnus nebulosus",57,11,9,"NT"
"335","Aves","Pipraeidea melanonota",21,19,14,"LC"
"336","Aves","Piranga flava",54,19,17,"LC"
"337","Aves","Pitangus sulphuratus",259,19,22,"LC"
"338","Aves","Platalea ajaja",84,19,55,"LC"
"339","Aves","Plegadis chihi",96,19,40,"LC"
"340","Aves","Pluvialis dominica",62,19,23,"LC"
"341","Aves","Pluvialis squatarola",7,7,25,"LC"
"342","Aves","Pluvianellus socialis",1,1,18,"NT"
"343","Aves","Podiceps major",95,19,51,"LC"
"344","Aves","Podiceps occipitalis",3,1,26,"LC"
"345","Aves","Podilymbus podiceps",26,19,29,"LC"
"346","Aves","Poecilotriccus plumbeiceps",14,2,9,"LC"
"347","Aves","Polioptila dumicola",93,19,11,"LC"
"348","Aves","Polystictus pectoralis",17,19,9,"NT"
"349","Aves","Poospiza nigrorufa",72,19,13,"LC"
"350","Aves","Porphyrio martinica",21,19,32,"LC"
"351","Aves","Porzana albicollis",1,NA,NA,NA
"352","Aves","Porzana flaviventer",1,NA,NA,NA
"353","Aves","Porzana spiloptera",3,9,15,"VU"
"354","Aves","Procellaria aequinoctialis",16,6,56,"VU"
"355","Aves","Progne chalybea",83,19,18,"LC"
"356","Aves","Progne elegans",3,9,18,"LC"
"357","Aves","Progne tapera",109,19,16,"LC"
"358","Aves","Pseudocolopteryx flaviventris",9,19,10,"LC"
"359","Aves","Pseudocolopteryx sclateri",7,14,9,"LC"
"360","Aves","Pseudoleistes guirahuro",26,15,22,"LC"
"361","Aves","Pseudoleistes virescens",124,19,21,"LC"
"362","Aves","Pseudoscops clamator",7,NA,NA,NA
"363","Aves","Pseudoseisura lophotes",13,19,23,"LC"
"364","Aves","Puffinus gravis",6,NA,NA,NA
"365","Aves","Puffinus griseus",5,NA,NA,NA
"366","Aves","Puffinus puffinus",4,6,34,"LC"
"367","Aves","Pyrocephalus rubinus",201,19,13,"LC"
"368","Aves","Pyroderus scutatus",1,1,41,"LC"
"369","Aves","Pyrrhura frontalis",29,4,24,"LC"
"370","Aves","Ramphastos toco",3,2,53,"LC"
"371","Aves","Rauenia bonariensis",131,19,17,"LC"
"372","Aves","Rhea americana",159,19,140,"NT"
"373","Aves","Rhopospina fruticeti",3,10,15,"LC"
"374","Aves","Rhynchotus rufescens",14,19,41,"LC"
"375","Aves","Riparia riparia",7,19,11,"LC"
"376","Aves","Rollandia rolland",48,19,25,"LC"
"377","Aves","Rostrhamus sociabilis",57,19,41,"LC"
"378","Aves","Rupornis magnirostris",132,19,38,"LC"
"379","Aves","Rynchops niger",55,13,40,"LC"
"380","Aves","Saltator aurantiirostris",65,19,18,"LC"
"381","Aves","Saltator coerulescens",8,4,20,"LC"
"382","Aves","Saltator similis",32,19,19,"LC"
"383","Aves","Satrapa icterophrys",41,19,16,"LC"
"384","Aves","Schoeniophylax phryganophilus",23,19,18,"LC"
"385","Aves","Serpophaga griseicapilla",3,19,9,"LC"
"386","Aves","Serpophaga nigricans",92,19,11,"LC"
"387","Aves","Serpophaga subcristata",53,19,9,"LC"
"388","Aves","Setopagis parvula",9,19,20,"LC"
"389","Aves","Setophaga pitiayumi",121,19,9,"LC"
"390","Aves","Sicalis flaveola",300,19,12,"LC"
"391","Aves","Sicalis luteola",67,19,12,"LC"
"392","Aves","Sittasomus griseicapillus",14,1,14,"LC"
"393","Aves","Spartonoica maluroides",10,19,13,"NT"
"394","Aves","Spatula cyanoptera",10,9,37,"LC"
"395","Aves","Spatula platalea",17,19,43,"LC"
"396","Aves","Spatula versicolor",64,19,37,"LC"
"397","Aves","Spheniscus magellanicus",119,6,47,"NT"
"398","Aves","Spinus magellanicus",131,19,12,"LC"
"399","Aves","Sporophila caerulescens",66,19,11,"LC"
"400","Aves","Sporophila cinnamomea",51,19,9,"VU"
"401","Aves","Sporophila collaris",45,14,11,"LC"
"402","Aves","Sporophila hypochroma",4,11,9,"NT"
"403","Aves","Sporophila hypoxantha",3,9,9,"LC"
"404","Aves","Sporophila leucoptera",1,1,11,"LC"
"405","Aves","Sporophila palustris",55,9,9,"EN"
"406","Aves","Sporophila pileata",1,2,11,"LC"
"407","Aves","Sporophila ruficollis",45,7,9,"NT"
"408","Aves","Stelgidopteryx ruficollis",33,19,13,"LC"
"409","Aves","Stephanophorus diadematus",100,19,18,"LC"
"410","Aves","Stercorarius antarcticus",6,5,60,"NE"
"411","Aves","Stercorarius chilensis",20,2,54,"LC"
"412","Aves","Stercorarius longicaudus",2,NA,NA,NA
"413","Aves","Stercorarius maccormicki",2,1,52,"LC"
"414","Aves","Stercorarius parasiticus",19,6,39,"LC"
"415","Aves","Stercorarius pomarinus",1,NA,NA,NA
"416","Aves","Sterna hirundinacea",33,9,38,"LC"
"417","Aves","Sterna hirundo",24,5,31,"LC"
"418","Aves","Sterna paradisaea",1,3,34,"LC"
"419","Aves","Sterna trudeaui",72,13,32,"LC"
"420","Aves","Sternula superciliaris",48,19,23,"LC"
"421","Aves","Stilpnia peruviana",5,1,14,"VU"
"422","Aves","Stilpnia preciosa",78,17,15,"LC"
"423","Aves","Sturnella defilippii",4,NA,NA,NA
"424","Aves","Sturnella superciliaris",65,NA,NA,NA
"425","Aves","Sturnus vulgaris",83,19,20,"LC"
"426","Aves","Sublegatus modestus",4,19,13,"LC"
"427","Aves","Suiriri suiriri",10,19,13,"LC"
"428","Aves","Sula dactylatra",1,6,87,"LC"
"429","Aves","Synallaxis albescens",4,14,14,"LC"
"430","Aves","Synallaxis cinerascens",3,NA,NA,NA
"431","Aves","Synallaxis frontalis",14,19,15,"LC"
"432","Aves","Synallaxis spixi",28,19,15,"LC"
"433","Aves","Syndactyla rufosuperciliata",18,19,16,"LC"
"434","Aves","Syrigma sibilatrix",105,19,48,"LC"
"435","Aves","Systellura longirostris",4,12,23,"LC"
"436","Aves","Tachuris rubrigastra",23,16,10,"LC"
"437","Aves","Tachybaptus dominicus",7,9,21,"LC"
"438","Aves","Tachycineta leucopyga",7,14,13,"LC"
"439","Aves","Tachycineta leucorrhoa",72,19,13,"LC"
"440","Aves","Tachyphonus coronatus",4,5,16,"LC"
"441","Aves","Tapera naevia",17,19,28,"LC"
"442","Aves","Thalassarche chlororhynchos",3,6,81,"EN"
"443","Aves","Thalassarche melanophris",36,6,90,"LC"
"444","Aves","Thalasseus elegans",2,NA,NA,NA
"445","Aves","Thalasseus maximus",64,8,44,"LC"
"446","Aves","Thalasseus sandvicensis",37,9,40,"LC"
"447","Aves","Thamnophilus caerulescens",40,19,13,"LC"
"448","Aves","Thamnophilus ruficapillus",41,19,16,"LC"
"449","Aves","Theristicus caerulescens",122,19,62,"LC"
"450","Aves","Theristicus caudatus",53,19,57,"LC"
"451","Aves","Thinocorus rumicivorus",7,8,19,"LC"
"452","Aves","Thraupis sayaca",66,19,15,"LC"
"453","Aves","Tigrisoma lineatum",54,19,62,"LC"
"454","Aves","Tolmomyias sulphurescens",15,1,13,"LC"
"455","Aves","Tringa flavipes",96,19,25,"LC"
"456","Aves","Tringa melanoleuca",119,19,33,"LC"
"457","Aves","Tringa solitaria",15,19,20,"LC"
"458","Aves","Troglodytes aedon",102,19,10,"LC"
"459","Aves","Trogon surrucura",17,2,24,"LC"
"460","Aves","Turdus albicollis",25,19,19,"LC"
"461","Aves","Turdus amaurochalinus",130,19,21,"LC"
"462","Aves","Turdus flavipes",3,1,21,"LC"
"463","Aves","Turdus leucomelas",2,2,21,"LC"
"464","Aves","Turdus rufiventris",229,19,23,"LC"
"465","Aves","Turdus subalaris",3,6,20,"LC"
"466","Aves","Tyrannus melancholicus",133,19,20,"LC"
"467","Aves","Tyrannus savana",196,19,38,"LC"
"468","Aves","Tyrannus tyrannus",4,1,18,"LC"
"469","Aves","Tyto alba",5,19,38,"LC"
"470","Aves","Vanellus chilensis",321,19,32,"LC"
"471","Aves","Veniliornis mixtus",13,NA,NA,NA
"472","Aves","Veniliornis spilogaster",65,NA,NA,NA
"473","Aves","Vireo olivaceus",26,NA,NA,NA
"474","Aves","Volatinia jacarina",12,19,10,"LC"
"475","Aves","Xanthopsar flavus",22,12,19,"VU"
"476","Aves","Xenopsaris albinucha",8,3,13,"LC"
"477","Aves","Xolmis cinereus",98,NA,NA,NA
"478","Aves","Xolmis coronatus",6,NA,NA,NA
"479","Aves","Xolmis irupero",142,19,17,"LC"
"480","Aves","Zenaida auriculata",203,19,23,"LC"
