"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"143","ayrton12","2023-01-21 19:19:18 UTC","2023-01-22 15:56:47 UTC",2,1.85936342592593,1.07563694763117,"beginner"
"144","b4ldub4","2019-12-18 12:54:47 UTC","2024-02-13 17:40:36 UTC",6,1519.1984837963,0.00394945101907074,"beginner"
"145","b_ip97","2021-01-25 00:28:26 UTC","2023-02-07 11:53:30 UTC",15,744.475740740741,0.0201484066963354,"beginner"
"146","barkrav","2021-02-14 22:05:36 UTC","2023-12-28 18:28:45 UTC",4,1047.84940972222,0.00381734241856411,"beginner"
"147","batitu","2022-05-31 23:38:07 UTC","2024-01-29 00:35:56 UTC",1351,608.040150462963,2.22189274667363,"experienced"
"148","bautista2","2021-10-10 17:43:44 UTC","2022-06-23 21:13:45 UTC",9,257.145844907407,0.0349995933367724,"beginner"
"149","belen76","2021-10-14 18:57:38 UTC","2023-05-26 05:02:31 UTC",4,589.42005787037,0.00678633166039916,"beginner"
"150","belen_chaine","2024-02-17 01:03:03 UTC","2024-02-19 00:35:34 UTC",5,2.98091435185185,1.67733769234055,"beginner"
"151","belen_olivera","2020-04-07 22:57:21 UTC","2021-11-04 19:04:09 UTC",49,576.838055555556,0.0849458518349797,"beginner"
"152","belenarta","2022-04-05 14:55:03 UTC","2022-04-05 14:55:03 UTC",1,1,1,"beginner"
"153","belenchaine","2021-03-25 14:51:15 UTC","2023-08-04 23:20:29 UTC",89,863.353634259259,0.103086379055276,"beginner"
"154","beln15","2019-04-08 23:56:08 UTC","2024-01-13 06:25:49 UTC",90,1741.27061342593,0.0516863945822449,"beginner"
"155","benturenson","2022-08-07 19:30:57 UTC","2023-05-14 20:20:30 UTC",12,281.034409722222,0.0426993975999627,"beginner"
"156","bermas","2023-12-10 18:06:34 UTC","2023-12-10 18:06:34 UTC",1,1,1,"beginner"
"157","bernardo96","2021-11-02 17:31:11 UTC","2023-09-11 10:47:46 UTC",19,678.719849537037,0.0279938770215136,"beginner"
"158","berni13","2022-11-30 14:24:02 UTC","2022-12-01 16:07:37 UTC",2,2.07193287037037,0.965282238918526,"beginner"
"159","beronagarcia","2020-03-28 15:33:01 UTC","2020-12-22 22:15:42 UTC",4,270.279641203704,0.0147994868654768,"beginner"
"160","bert_in_the_skirt","2020-10-29 09:49:43 UTC","2022-12-31 21:55:04 UTC",155,794.503715277778,0.195090340069471,"beginner"
"161","bethaniamoreira","2019-12-15 16:52:29 UTC","2022-01-18 17:34:45 UTC",3,766.029351851852,0.00391629902006704,"beginner"
"162","bfirpo","2022-10-03 11:23:57 UTC","2022-10-03 11:23:57 UTC",1,1,1,"beginner"
"163","bien-plantados","2019-12-19 16:00:56 UTC","2019-12-21 14:35:46 UTC",3,2.94085648148148,1.0201109842969,"beginner"
"164","biocorral","2022-11-16 16:54:01 UTC","2024-02-12 02:43:24 UTC",68,453.409293981481,0.14997487017277,"beginner"
"165","bluehorse","2018-09-16 18:29:47 UTC","2019-06-27 00:11:38 UTC",26,284.237395833333,0.0914728335579231,"beginner"
"166","bokidoki","2022-10-09 00:36:01 UTC","2023-11-02 22:45:00 UTC",6,390.922905092593,0.0153482948219134,"beginner"
