taxon_class_name,taxon_species_name,distribution_area,body_size,conservation_status,remarks
Aves,Synallaxis frontalis,19,15,LC,NA
Aves,Synallaxis spixi,19,15,LC,NA
Aves,Syndactyla rufosuperciliata,19,16,LC,NA
Aves,Syrigma sibilatrix,19,48,LC,NA
Aves,Systellura longirostris,12,23,LC,NA
Aves,Tachuris rubrigastra,16,10,LC,NA
Aves,Tachybaptus dominicus,9,21,LC,NA
Aves,Tachycineta leucopyga,14,13,LC,NA
Aves,Tachycineta leucorrhoa,19,13,LC,NA
Aves,Tachyphonus coronatus,5,16,LC,NA
Aves,Tapera naevia,19,28,LC,NA
Aves,Thalassarche chlororhynchos,6,81,EN,NA
Aves,Thalassarche melanophris,6,90,LC,NA
Aves,Thalasseus elegans,1,40,NT,NA
Aves,Thalasseus maximus,8,44,LC,NA
Aves,Thalasseus sandvicensis,9,40,LC,NA
Aves,Thamnophilus caerulescens,19,13,LC,NA
Aves,Thamnophilus ruficapillus,19,16,LC,NA
Aves,Theristicus caerulescens,19,62,LC,NA
Aves,Theristicus caudatus,19,57,LC,NA
Aves,Thinocorus rumicivorus,8,19,LC,NA
Aves,Thraupis sayaca,19,15,LC,NA
Aves,Tigrisoma lineatum,19,62,LC,NA
Aves,Tolmomyias sulphurescens,1,13,LC,NA
Aves,Tringa flavipes,19,25,LC,NA
Aves,Tringa melanoleuca,19,33,LC,NA
Aves,Tringa solitaria,19,20,LC,NA
Aves,Troglodytes aedon,19,10,LC,NA
Aves,Trogon surrucura,2,24,LC,NA
Aves,Turdus albicollis,19,19,LC,NA
Aves,Turdus amaurochalinus,19,21,LC,NA
Aves,Turdus flavipes,1,21,LC,NA
Aves,Turdus leucomelas,2,21,LC,NA
Aves,Turdus rufiventris,19,23,LC,NA
Aves,Turdus subalaris,6,20,LC,NA
Aves,Tyrannus melancholicus,19,20,LC,NA
Aves,Tyrannus savana,19,38,LC,NA
Aves,Tyrannus tyrannus,1,18,LC,NA
Aves,Tyto alba,19,38,LC,NA
Aves,Vanellus chilensis,19,32,LC,NA
Aves,Vireo chivi,19,14,LC,NA
Aves,Volatinia jacarina,19,10,LC,NA
Aves,Xanthopsar flavus,12,19,VU,NA
Aves,Xenopsaris albinucha,3,13,LC,NA
Aves,Xolmis irupero,19,17,LC,NA
Aves,Zenaida auriculata,19,23,LC,NA
Aves,Zonibyx modestus,19,19,LC,NA
Aves,Zonotrichia capensis,19,12,LC,NA
Mammalia,Akodon azarae,19,17,LC,NA
Mammalia,Alouatta caraya,1,57,NT,new record
Mammalia,Arctocephalus australis,7,150,LC,NA
Mammalia,Arctocephalus gazella,2,150,LC,NA
Mammalia,Arctocephalus tropicalis,3,16,LC,NA
Mammalia,Axis axis,NA,NA,NA,non-native: introduced
Mammalia,Balaenoptera acutorostrata,6,625,LC,NA
Mammalia,Cabassous tatouay,4,70,LC,NA
Mammalia,Calomys laucha,19,13,LC,NA
Mammalia,Canis familiaris,NA,NA,NA,non-native: domesticated
Mammalia,Capra hircus,12,125,NE,NA
Mammalia,Cavia aperea,19,24,LC,NA
Mammalia,Cerdocyon thous,19,110,LC,NA
Mammalia,Chrysocyon brachyurus,8,145,NT,NA
Mammalia,Coendou spinosus,7,72,LC,NA
Mammalia,Conepatus chinga,19,57,LC,NA
Mammalia,Ctenomys pearsoni,6,26,NT,NA
Mammalia,Ctenomys rionegrensis,1,18,EN,NA
Mammalia,Ctenomys torquatus,12,26,LC,NA
Mammalia,Cuniculus paca,1,65,LC,NA
Mammalia,Dama dama,NA,NA,NA,non-native: introduced
Mammalia,Dasypus novemcinctus,19,70,LC,NA
Mammalia,Dasypus septemcinctus,19,45,LC,NA
Mammalia,Delphinus delphis,3,230,LC,NA
Mammalia,Desmodus rotundus,19,9,LC,NA
Mammalia,Didelphis albiventris,19,90,LC,NA
Mammalia,Eptesicus furinalis,19,11,LC,NA
Mammalia,Eubalaena australis,4,1400,LC,NA
Mammalia,Eumops bonariensis,19,11,LC,NA
Mammalia,Euphractus sexcinctus,19,62,LC,NA
Mammalia,Felis catus,NA,NA,NA,non-native: domesticated
Mammalia,Galictis cuja,19,62,LC,NA
Mammalia,Histiotus montanus,19,11,LC,NA
Mammalia,Holochilus brasiliensis,19,39,LC,NA
