"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"157","carlinhia","2024-02-19 17:34:52 UTC","2024-02-19 17:51:50 UTC",3,1.01178240740741,2.96506440321215,"beginner"
"158","carlobrescia","2023-11-13 17:25:58 UTC","2023-11-14 02:37:21 UTC",5,1.38290509259259,3.61557711138823,"beginner"
"159","carlos-nat","2018-07-09 13:51:37 UTC","2018-07-09 13:55:16 UTC",2,1.00253472222222,1.99494337270114,"beginner"
"160","carlos123456","2022-05-21 19:06:50 UTC","2022-05-21 19:33:28 UTC",3,1.01849537037037,2.94552148912475,"beginner"
"161","carlos2194","2022-05-10 19:02:33 UTC","2022-05-10 19:02:33 UTC",1,1,1,"beginner"
"162","carlospalomera","2023-08-08 00:45:50 UTC","2023-08-08 00:45:51 UTC",4,1.00001157407407,3.99995370423953,"beginner"
"163","carmen556","2022-11-07 10:10:22 UTC","2022-11-07 10:10:22 UTC",1,1,1,"beginner"
"164","carmen_rolandi","2022-06-12 18:50:15 UTC","2022-06-12 18:50:15 UTC",1,1,1,"beginner"
"165","carmenpollio","2022-01-07 12:31:55 UTC","2022-01-07 12:31:55 UTC",1,1,1,"beginner"
"166","carmentavares","2021-08-21 22:53:05 UTC","2024-02-10 23:16:48 UTC",123,904.016469907407,0.13605946804553,"beginner"
"167","carojl","2024-01-24 22:41:13 UTC","2024-01-24 22:41:57 UTC",2,1.00050925925926,1.99898199990745,"beginner"
"168","casolari","2018-12-30 16:27:42 UTC","2018-12-30 16:27:42 UTC",1,1,1,"beginner"
"169","cass2021","2024-01-09 10:42:53 UTC","2024-01-11 11:13:56 UTC",2,3.0215625,0.661909194332403,"beginner"
"170","cassieannakrane","2023-02-03 16:55:28 UTC","2023-02-03 16:55:28 UTC",1,1,1,"beginner"
"171","castieler","2023-04-08 23:01:13 UTC","2023-04-20 15:13:06 UTC",37,12.6749189814815,2.91915080909459,"beginner"
"172","catap","2023-03-19 21:58:06 UTC","2023-03-19 21:58:06 UTC",1,1,1,"beginner"
"173","catheryn","2021-08-31 15:31:31 UTC","2022-05-05 13:09:15 UTC",8,247.901203703704,0.0322709203524552,"beginner"
"174","ccanet","2018-12-02 01:04:50 UTC","2018-12-02 03:19:38 UTC",13,1.09361111111111,11.8872237744475,"beginner"
"175","ccantc","2023-12-17 00:11:27 UTC","2023-12-17 00:11:27 UTC",1,1,1,"beginner"
"176","ccfisher","2021-01-10 16:17:02 UTC","2021-01-10 16:17:02 UTC",1,1,1,"beginner"
"177","ccostah","2023-10-13 13:27:54 UTC","2023-10-15 20:14:20 UTC",14,3.28224537037037,4.26537276170192,"beginner"
"178","cdiaz_m","2020-05-17 23:29:04 UTC","2020-05-17 23:31:07 UTC",18,1.00142361111111,17.9744114281752,"beginner"
"179","ce92","2019-02-25 16:17:29 UTC","2019-02-25 16:21:16 UTC",2,1.00262731481481,1.99475913976012,"beginner"
"180","ceabsas","2023-08-31 16:46:24 UTC","2023-09-18 11:38:46 UTC",5,18.7863657407407,0.266150466194578,"beginner"
"181","cechuescri","2020-05-20 19:59:34 UTC","2020-07-27 23:42:07 UTC",2,69.1545486111111,0.0289207295856553,"beginner"
"182","cecieci","2022-11-11 15:40:44 UTC","2022-11-13 14:14:36 UTC",9,2.94018518518519,3.06103168104806,"beginner"
"183","cecilia406","2022-05-09 01:49:49 UTC","2022-05-09 01:49:49 UTC",1,1,1,"beginner"
"184","cecilia75831","2024-02-06 14:45:49 UTC","2024-02-06 14:48:07 UTC",2,1.00159722222222,1.9968106496568,"beginner"
"185","ceciliamilln","2020-11-22 06:04:26 UTC","2021-12-17 03:32:55 UTC",3,390.894780092593,0.00767469956823005,"beginner"
"186","ceciliastagno","2020-01-22 03:20:14 UTC","2020-02-07 16:06:26 UTC",2,17.5320833333333,0.114076573900231,"beginner"
"187","celimilia","2023-04-30 02:31:53 UTC","2023-04-30 02:31:53 UTC",1,1,1,"beginner"
"188","ceronfabio","2018-02-25 23:55:50 UTC","2018-02-25 23:55:50 UTC",1,1,1,"beginner"
"189","cesarlezama","2023-05-05 13:34:29 UTC","2023-06-28 23:34:03 UTC",60,55.4163657407407,1.08271264630927,"beginner"
"190","charlie_myles","2022-02-10 23:26:42 UTC","2022-02-10 23:33:17 UTC",2,1.00457175925926,1.99089809320813,"beginner"
"191","charls_second","2023-01-27 17:43:30 UTC","2023-01-27 17:43:30 UTC",1,1,1,"beginner"
"192","chartuso","2020-02-01 02:13:42 UTC","2020-02-01 02:13:42 UTC",2,1,2,"beginner"
"193","chebizarro","2020-01-22 18:22:11 UTC","2020-01-22 18:22:11 UTC",1,1,1,"beginner"
"194","chemidulce","2023-11-19 20:37:35 UTC","2023-11-19 20:37:35 UTC",1,1,1,"beginner"
"195","chingawhat","2021-12-30 19:53:42 UTC","2021-12-30 19:53:42 UTC",1,1,1,"beginner"
"196","chinoponja","2023-03-28 22:15:11 UTC","2023-03-28 22:15:11 UTC",1,1,1,"beginner"
"197","choriplanti","2020-03-29 13:32:59 UTC","2020-03-29 13:32:59 UTC",1,1,1,"beginner"
"198","christiangilli","2020-03-01 17:10:03 UTC","2023-01-05 21:03:39 UTC",430,1041.16222222222,0.413000002134367,"intermediate"
"199","christinagebhard","2023-09-27 19:11:01 UTC","2023-09-27 19:52:27 UTC",13,1.02877314814815,12.6364106833472,"beginner"
"200","chriswyatt1","2023-01-30 21:27:36 UTC","2023-02-02 13:40:10 UTC",3,3.67539351851852,0.816239127833376,"beginner"
"201","chuck47","2019-04-17 14:57:57 UTC","2019-04-17 15:47:39 UTC",25,1.03451388888889,24.1659394508962,"beginner"
"202","cicely3","2022-05-22 11:55:48 UTC","2022-05-22 11:55:48 UTC",1,1,1,"beginner"
"203","cidawerneck","2019-10-18 22:19:57 UTC","2021-11-29 12:19:24 UTC",19,773.582951388889,0.0245610376571607,"beginner"
"204","claitonlenz","2021-01-08 14:32:49 UTC","2021-01-09 16:07:58 UTC",4,2.06607638888889,1.93603683847873,"beginner"
"205","clara_florencia","2020-03-16 22:06:02 UTC","2020-03-16 22:06:02 UTC",1,1,1,"beginner"
"206","clarabenadon","2023-12-24 22:55:27 UTC","2023-12-25 02:21:48 UTC",4,1.14329861111111,3.49864852552616,"beginner"
"207","claradlc","2020-12-12 14:37:52 UTC","2020-12-12 14:37:52 UTC",1,1,1,"beginner"
"208","claude7577","2023-03-29 21:33:10 UTC","2023-03-29 21:35:30 UTC",3,1.00162037037037,2.99514675294661,"beginner"
"209","claudia_barros","2023-12-05 00:25:27 UTC","2023-12-05 00:28:02 UTC",2,1.00179398148148,1.99641846224944,"beginner"
"210","claudia_ma","2022-09-17 16:18:49 UTC","2022-09-17 16:18:49 UTC",1,1,1,"beginner"
"211","claudianicolow","2020-12-20 22:46:50 UTC","2021-12-02 00:29:56 UTC",12,347.071597222222,0.0345749986344076,"beginner"
"212","claudiomartins","2023-06-15 00:29:05 UTC","2023-12-26 14:45:45 UTC",7,195.594907407407,0.0357882528373788,"beginner"
"213","cmhf","2018-08-13 14:08:35 UTC","2018-08-13 14:08:35 UTC",1,1,1,"beginner"
"214","connie163","2020-01-19 17:16:33 UTC","2020-01-19 17:16:33 UTC",1,1,1,"beginner"
"215","connrcrane","2020-05-01 19:05:37 UTC","2020-05-01 19:05:37 UTC",1,1,1,"beginner"
"216","constantina1","2019-03-25 18:08:27 UTC","2019-03-25 18:11:32 UTC",2,1.0021412037037,1.99572674250736,"beginner"
"217","corygiacobbe","2020-07-23 21:02:46 UTC","2020-08-04 08:31:50 UTC",40,12.4785185185185,3.20550872610709,"beginner"
"218","craftybirder","2017-05-20 20:16:19 UTC","2017-05-21 02:42:56 UTC",12,1.2684837962963,9.46011295929633,"beginner"
"219","cric_hammel","2023-11-16 13:35:42 UTC","2023-12-03 14:40:14 UTC",3,18.0448148148148,0.166252745222799,"beginner"
"220","cris131","2020-12-25 15:20:30 UTC","2020-12-25 15:20:30 UTC",1,1,1,"beginner"
"221","cris216","2023-01-14 20:12:59 UTC","2023-01-14 20:12:59 UTC",1,1,1,"beginner"
"222","cristian813","2023-02-12 03:45:14 UTC","2023-02-12 03:45:14 UTC",1,1,1,"beginner"
"223","cristiandibattista","2019-02-07 18:57:53 UTC","2019-02-07 18:57:53 UTC",1,1,1,"beginner"
"224","crow_loco","2023-06-23 16:11:42 UTC","2023-06-23 16:11:42 UTC",1,1,1,"beginner"
