"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Penelope obscura",19,69,"LC",
"Aves","Petrochelidon pyrrhonota",19,14,"LC",
"Aves","Phacellodomus ferrugineigula",2,18,"LC",
"Aves","Phacellodomus ruber",4,18,"LC",
"Aves","Phacellodomus sibilatrix",15,12,"LC",
"Aves","Phacellodomus striaticollis",19,16,"LC",
"Aves","Phaetusa simplex",15,38,"LC",
"Aves","Phalaropus tricolor",19,21,"LC",
"Aves","Phimosus infuscatus",19,40,"LC",
"Aves","Phleocryptes melanops",19,13,"LC",
"Aves","Phoenicopterus chilensis",7,75,"NT",
"Aves","Phyllomyias burmeisteri",1,11,"LC",
"Aves","Phyllomyias virescens",1,12,"LC",
"Aves","Phylloscartes ventralis",19,10,"LC",
"Aves","Phytotoma rutila",16,17,"LC",
"Aves","Piaya cayana",19,44,"LC",
"Aves","Piculus aurulentus",1,21,"NT",
"Aves","Picumnus cirratus",6,8,"LC",
"Aves","Picumnus nebulosus",11,9,"NT",
"Aves","Pipraeidea melanonota",19,14,"LC",
"Aves","Piranga flava",19,17,"LC",
"Aves","Pitangus sulphuratus",19,22,"LC",
"Aves","Platalea ajaja",19,55,"LC",
"Aves","Plegadis chihi",19,40,"LC",
"Aves","Pluvialis dominica",19,23,"LC",
"Aves","Pluvialis squatarola",7,25,"LC",
"Aves","Podiceps major",19,51,"LC",
"Aves","Podiceps occipitalis",1,26,"LC",
"Aves","Podilymbus podiceps",19,29,"LC",
"Aves","Poecilotriccus plumbeiceps",2,9,"LC",
"Aves","Polioptila dumicola",19,11,"LC",
"Aves","Polystictus pectoralis",19,9,"NT",
"Aves","Poospiza nigrorufa",19,13,"LC",
"Aves","Porphyrio flavirostris",1,23,"LC",
"Aves","Porphyrio martinica",19,32,"LC",
"Aves","Porphyriops melanops",19,20,"LC",
"Aves","Porzana spiloptera",9,15,"VU",
"Aves","Procellaria aequinoctialis",6,56,"VU",
"Aves","Progne chalybea",19,18,"LC",
"Aves","Progne elegans",9,18,"LC",
"Aves","Progne tapera",19,16,"LC",
"Aves","Pseudocolopteryx flaviventris",19,10,"LC",
"Aves","Pseudocolopteryx sclateri",14,9,"LC",
"Aves","Pseudoleistes guirahuro",15,22,"LC",
"Aves","Pseudoleistes virescens",19,21,"LC",
"Aves","Pseudoseisura lophotes",19,23,"LC",
"Aves","Psittacara leucophthalmus",13,33,"LC",
"Aves","Puffinus puffinus",6,34,"LC",
"Aves","Pygochelidon cyanoleuca",19,11,"LC",
"Aves","Pyrocephalus rubinus",19,13,"LC",
"Aves","Pyroderus scutatus",1,41,"LC",
"Aves","Pyrrhura frontalis",4,24,"LC",
"Aves","Ramphastos toco",2,53,"LC",
"Aves","Rauenia bonariensis",19,17,"LC",
